sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_risk_difference,0.2766470559858637,0.10757390880287283,0.0031961888958807454,0.11126176390981207,0.0032398986612419698,0.02858758256047738,0.029907238490077655,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,logistic_gcomp_risk_difference,0.16340340983556864,-0.005669737347422231,0.0031782766008110618,0.028812494712165074,0.001882313360065657,0.028427370122841987,0.0009988598830852195,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw_risk_difference,0.16461117016541943,-0.00446197701757146,0.003263430723426498,0.029347191786388206,0.00201827878583274,0.029189011749771863,0.04432673273030949,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw_risk_difference,0.16251197984438184,-0.006561167338609035,0.003254945496182425,0.02966526354697648,0.001906391657684053,0.02911311757008274,0.031761967742720824,0.9875,0.012421629321469847,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_oracle_includes_U,0.16329630357716846,-0.005776843605822409,0.0031795174515841258,0.028844567752272596,0.0019089528019421687,0.02843846862955601,0.0010057926021932672,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
