sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
1000,naive_risk_difference,0.2722282864331516,0.10960569395258579,0.0036591512423163747,0.11432921666899232,0.003482523670598718,0.03272844367108888,0.029994875795952725,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,logistic_gcomp_risk_difference,0.1621258186899533,-0.0004967737906125469,0.0037147882184891136,0.03302149683689182,0.00222518058466958,0.033226075914228,0.0008963741758868932,0.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,ipw_risk_difference,0.16224093252160415,-0.0003816599589616523,0.00402119420326253,0.03574319357768828,0.00280892794521801,0.035966654356892495,0.04513488425932698,0.9875,0.012421629321469847,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,aipw_risk_difference,0.1619926721945873,-0.0006299202859785125,0.003762127594248729,0.03344445422433887,0.0024095614179967615,0.03364949216307162,0.032235839227690334,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
1000,adjusted_oracle_includes_U,0.16236252907386622,-0.0002600634066996097,0.003768707501316652,0.03349801449613776,0.0024034902561119505,0.03370834464102965,0.0011822697474979133,0.05,0.02436698586202241,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
